id,event_template_id,event_template_qty_id,currency_id,price_base,markup_amount,duration,min_total,reason
1794115,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794117,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794119,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794121,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794123,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794125,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794127,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794129,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794131,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794133,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794135,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794137,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794139,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794141,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794143,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794145,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794147,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794149,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794151,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794153,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794155,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794157,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794159,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794161,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794163,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794165,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794167,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794169,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794171,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794173,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794175,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794177,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794179,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794181,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794183,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794185,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794187,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794189,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794191,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794193,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794195,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794197,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794199,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794201,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794203,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794205,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794207,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794209,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794211,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794213,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794215,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794217,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794219,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794221,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794223,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794225,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794227,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794229,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794231,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794233,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794235,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794237,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794239,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794241,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794243,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794245,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794247,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794249,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794251,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794253,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794255,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794257,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794259,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794261,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794263,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794265,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794267,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794269,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794271,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794273,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794275,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794277,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794279,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794281,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794283,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794285,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794287,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794289,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794291,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794293,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794295,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794297,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794299,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794301,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794303,509,41,2,1120.00,168.00,2,2000.00,below_min_total
